Itérations;Améliorations;Temps (s);Coût initial;Coût final;Gain (%);Route ID;Clients;Véhicules;Véh. utilisés;Distance (km);Violations
8291;413;76,47;81445,75;339,14;99,58;2604001;115;7;7;1291,78;1
8291;595;105,15;243192,26;951,35;99,61;2922001;119;8;8;1927,46;1
8291;376;39,29;93714,17;352,23;99,62;2939484;78;8;8;1554,05;0
8291;323;55,0;92193,28;349,43;99,62;2946091;107;8;8;1488,79;0
8291;327;54,31;46467,82;267,96;99,42;2958047;110;8;8;1185,31;0
8291;633;268,94;129691,79;740,11;99,43;2970877;129;8;8;2299,36;0
8291;514;152,74;140677,41;329,81;99,77;2990001;124;8;8;1444,68;0
8291;371;45,65;123554,62;416,57;99,66;3005971;94;6;6;1660,17;2
8291;464;151,75;134429,68;467,44;99,65;3016355;101;7;7;1513,98;1
8291;382;107,29;87174,5;273,19;99,69;3027038;91;7;7;1138,53;0
8291;379;53,03;81976,93;400,12;99,51;3044702;90;7;7;1720,92;0
